vendor_code,seller_id,vendor_name,merchant_name
ZAV00001,bd4431c1a8dfa744b59e1e2a8bc99b9e,Jacarandá Shop.,Jacarandá Shop
ZAV00002,720e6cf846ea7572cbb66b743fb91e6c,Verde Bras.,Verde Brasil
ZAV00003,aae3bfea055532c57fb453ed3ec80b30,GrupoVitória,Grupo Vitória
ZAV00004,6d2f2e3b539480db1e0842b3a4e32e6e,Horizonte Brasil (Pty) Ltd,Horizonte Brasil
ZAV00005,271b8923c6a549e02d3c9fd1f8c0422b,Arte Vitóra,Arte Vitória
ZAV00006,a7ecf689b40a44361e259b28939023e4,Marfim Expres,Marfim Express
ZAV00007,be9a160a9011f627c3e121d076c1ec7b,Empóri Pampa,Empório Pampa
ZAV00008,bf0d50a6410d487dc97d2baac0a8c0be,Ipaema Brasil,Ipanema Brasil
ZAV00009,4324dd16853115efb0fd9d0d131ba6f4,House Lírio Shop,Casa Lírio Shop
ZAV00010,b4ffb71f0cb1b1c3d63fad021ecf93e1,Solar Ltda.,Solar Ltda
ZAV00011,fdb9095204a334cd8872252ffec6f2db,Ponto Tucao Shop,Ponto Tucano Shop
ZAV00012,05f51e13da97139648b8125c31e5f51b,BELLAPITANGASTORE,Bella Pitanga Store
ZAV00013,2493dc3f20131696a0ecdb9948051a8d,Distribution Onda,Distribuidora Onda
ZAV00014,eae9af4811c294c56795d70e715b7337,ÂMBARIMPORTADORA,Âmbar Importadora
ZAV00015,179d859f51292aac5c10806a356f7af9,Grupo Horizonte Retail,Grupo Horizonte Varejo
ZAV00016,112453736dbe3889cfb74e1aaa0ba0c1,Cedro Lta,Cedro Ltda
ZAV00017,b2ba3715d723d245138f291a6fe42594,MUNDOGIRASSOLBRASIL,Mundo Girassol Brasil
ZAV00018,6c17baf138731a4aaacc3210adf2037b,Nova Verd.,Nova Verde
ZAV00019,f80edd2c5aaa505cc4b0a3b219abf4b8,Rubi Expr.,Rubi Express
ZAV00020,43402bdf22aa2310e8f99e2f94f78628,Prime Horizonte Imports,Prime Horizonte Importadora
ZAV00021,f5f2ab9bdb6b30c14c61be68c5ed37da,Empório Pampa Comé.,Empório Pampa Comércio
ZAV00022,d3e7d37c0df9aef383f3f2a15b0dddfb,Comercial Atlântico Lda,Comercial Atlântico Ltda
