snapshot_date,seller_id,merchant_name,tier,commission_rate,seller_city,seller_state,status
2018-06-01,3442f8959a84dea7ee197c632cb2df15,Ponto Tucano Ltda,bronze,0.18,campinas,SP,active
2018-06-01,d1b65fc7debc3361ea86b5f14c68d2e2,Espaço Palmeira,gold,0.12,mogi guacu,SP,active
2018-06-01,ce3ad9de960102d0677a81f5d0bb7b2d,Orquídea Varejo,bronze,0.18,rio de janeiro,RJ,active
2018-06-01,c0f3eea2e14555b6faeea3dd58c1b1c3,Loja Serra,silver,0.15,sao paulo,SP,active
2018-06-01,51a04a8a6bdcb23deccc82b0b80742cf,Orquídea Importadora,silver,0.15,braganca paulista,SP,active
2018-06-01,c240c4061717ac1806ae6ee72be3533b,Estilo Aurora,bronze,0.18,rio de janeiro,RJ,inactive
2018-06-01,e49c26c3edfa46d227d5121a6b6e4d37,Estilo Verde Store,gold,0.12,brejao,PE,active
2018-06-01,1b938a7ec6ac5061a66a3766e0e75f90,Estilo Mangue Ltda,silver,0.15,penapolis,SP,active
2018-06-01,768a86e36ad6aae3d03ee3c6433d61df,Pampa Atacado,bronze,0.18,sao paulo,SP,inactive
2018-06-01,ccc4bbb5f32a6ab2b7066a4130f114e3,Ponto Rubi Comércio,platinum,0.095,curitiba,PR,active
2018-06-01,8cb7c5ddf41f4d506eba76e9a4702a25,Âmbar Varejo,bronze,0.18,anapolis,GO,active
2018-06-01,a7a9b880c49781da66651ccf4ba9ac38,Comercial Marfim,bronze,0.18,itirapina,SP,active
2018-06-01,8bd0f31cf0a614c658f6763bd02dea69,Bella Sertão,silver,0.15,mage,SP,active
2018-06-01,05a48cc8859962767935ab9087417fbb,Grupo Cristal Store,bronze,0.18,sao leopoldo,SP,active
2018-06-01,7b8e8ec35bad4b0ef7e3963650b0a87b,Espaço Atlântico,silver,0.15,tubarao,SC,active
2018-06-01,1444c08e64d55fb3c25f0f09c07ffcf2,Lírio Store,silver,0.15,lauro de freitas,BA,active
2018-06-01,166e8f1381e09651983c38b1f6f91c11,Sabiá Express,bronze,0.18,imbituba,SC,active
2018-06-01,e38db885400cd35c71dfd162f2c1dbcf,Pampa Comércio,silver,0.15,brasilia,DF,active
2018-06-01,d2e753bb80b7d4faa77483ed00edc8ca,Estilo Quartzo Atacado,silver,0.15,porto seguro,BA,active
2018-06-01,f9ec7093df3a7b346b7bcf7864069ca3,Rubi Comércio,bronze,0.18,sao paulo,SP,active
2018-06-01,4e6015589b781adaa5ce7f1892d06bb1,Palmeira Store,bronze,0.18,guaruja,SP,active
2018-06-01,4cf490a58259286ada5ba8525ba9e84a,Estilo Marfim Comércio,silver,0.15,tabatinga,SP,active
2018-06-01,f7496d659ca9fdaf323c0aae84176632,Casa Vitória Shop,silver,0.15,sao paulo,SP,active
2018-06-01,2ff97219cb8622eaf3cd89b7d9c09824,Vitória Varejo,silver,0.15,salto,SP,active
2018-06-01,8bd0e3abda539b9479c4b44a691be1ec,Jacarandá Varejo,bronze,0.18,tres de maio,RS,active
2018-06-01,2a1348e9addc1af5aaa619b1a3679d6b,Comercial Mangue Express,silver,0.15,ouro preto,MG,active
2018-06-01,2078fe5066350e7d220c0ad3a3bbc6c1,Mundo Solar Express,silver,0.15,pilar do sul,PR,active
2018-06-01,116ccb1a1604bc88e4d234a8c23f33de,Prime Coral Express,silver,0.15,igaracu do tiete,SP,active
2018-06-01,430315b7bb4b6e4b3c978f9dfa9b0558,Espaço Atlântico,platinum,0.095,sao paulo,SP,active
2018-06-01,406822777a0b9eb5c50e442dd4cd3ec5,Cristal Atacado,platinum,0.095,tatui,SP,active
2018-06-01,4dbd95a08b31ede5c82d3f861cb1ce1a,Espaço Onda,silver,0.15,curitiba,PR,active
2018-06-01,e9e446d01bd10a97a8ffcfc4a3a20cb2,Empório Coral Shop,bronze,0.18,sao paulo,SP,inactive
2018-06-01,d52cbce9845184537284a23c3bc3da0e,Distribuidora Vitória Express,bronze,0.18,garopaba,SC,active
2018-06-01,d9a84e1403de8da0c3aa531d6d108ba6,Central Cedro,gold,0.12,sao paulo,SP,inactive
2018-06-01,9c690ceacd5c66731bf443ea810195cb,Jacarandá Distribuidora,bronze,0.18,camanducaia,MG,inactive
