buyer_ref,buyer_uid,postcode,town,province,signup_dt,acq_channel
ZAC0000010,00006fe3aab674cc,26,Pretoria,Gauteng,18/05/2018,email
ZAC0000017,5c464136e4ae38c0,2252,Sandton,Gauteng,31/05/2018,organic
ZAC0000025,639abd2ad82a0eba,26,Pretoria,Gauteng,26/05/2018,affiliate
ZAC0000038,1190583c539acc3d,1242,Nelspruit,Mpumalanga,01/05/2018,referral
ZAC0000043,c1e840070a0a5a1c,7603,Stellenbosch,Western Cape,09/05/2018,paid_search
ZAC0000052,2015ed476293a4b1,3205,Pietermaritzburg,KwaZulu-Natal,08/05/2018,organic
ZAC0000060,12b3e58c01271762,8355,Kimberley,Northern Cape,02/05/2018,paid_search
ZAC0000061,2fe91304d37bcbd0,13,Pretoria,Gauteng,27/05/2018,organic
ZAC0000091,68ef3d8c5b3042fd,3230,Pietermaritzburg,KwaZulu-Natal,22/05/2018,social
ZAC0000092,a13757cfb1e77671,158,Centurion,Gauteng,17/05/2018,paid_search
ZAC0000111,606c8acf43ab28f3,304,Rustenburg,North West,26/05/2018,affiliate
ZAC0000114,45d8e67116637495,1259,Nelspruit,Mpumalanga,17/05/2018,organic
ZAC0000131,7f6dc8f35f6a8025,2008,Johannesburg,Gauteng,02/05/2018,organic
ZAC0000150,a763e1f8d69ab931,1210,Nelspruit,Mpumalanga,28/05/2018,referral
ZAC0000157,4b42c3948cf2ce95,716,Polokwane,Limpopo,03/05/2018,organic
ZAC0000165,3cefad5b4697ef24,2,Pretoria,Gauteng,17/05/2018,organic
ZAC0000167,7614be13544e8215,171,Centurion,Gauteng,15/05/2018,email
ZAC0000174,65fcbab6589d0005,1833,Soweto,Gauteng,21/05/2018,affiliate
ZAC0000178,cd3188743c0ecba1,2011,Johannesburg,Gauteng,28/05/2018,social
ZAC0000188,fbccb2c318d429b5,737,Polokwane,Limpopo,28/05/2018,social
ZAC0000189,dab9a2edc76a943f,9344,Bloemfontein,Free State,05/05/2018,referral
ZAC0000197,12e39730ef3167e9,358,Rustenburg,North West,31/05/2018,social
ZAC0000201,c52004f48ceee9ba,8012,Cape Town,Western Cape,04/05/2018,email
ZAC0000227,df43e7e5954c2e94,8019,Cape Town,Western Cape,05/05/2018,organic
ZAC0000234,8d3623cf224b393a,8011,Cape Town,Western Cape,12/05/2018,organic
ZAC0000235,7502181a508b2f1a,6044,Port Elizabeth,Eastern Cape,03/05/2018,affiliate
ZAC0000237,21470c52a1550f49,9332,Bloemfontein,Free State,20/05/2018,affiliate
ZAC0000281,03364e03302b2445,2243,Sandton,Gauteng,12/05/2018,paid_search
ZAC0000304,df5f728689634072,1205,Nelspruit,Mpumalanga,30/05/2018,affiliate
ZAC0000325,b2e773a72caf5a91,4038,Durban,KwaZulu-Natal,08/05/2018,organic
ZAC0000358,7678438e0600eacd,4011,Durban,KwaZulu-Natal,20/05/2018,email
ZAC0000409,54e5ce9e2f6aecee,3246,Pietermaritzburg,KwaZulu-Natal,24/05/2018,paid_search
ZAC0000423,0d536b0153d076fd,1231,Nelspruit,Mpumalanga,17/05/2018,organic
ZAC0000480,7dbad0576d4cda9b,1254,Nelspruit,Mpumalanga,07/05/2018,organic
ZAC0000490,2dcc717cc0870da6,345,Rustenburg,North West,15/05/2018,affiliate
ZAC0000500,d31e96bfff970aec,7650,Stellenbosch,Western Cape,06/05/2018,organic
ZAC0000502,627656c8f2081924,2245,Sandton,Gauteng,10/05/2018,email
ZAC0000516,efa2f95f9d8f971a,186,Centurion,Gauteng,20/05/2018,paid_search
ZAC0000521,754b703ef9e8167a,2200,Sandton,Gauteng,23/05/2018,referral
ZAC0000534,940258df48b79b9c,9303,Bloemfontein,Free State,09/05/2018,social
ZAC0000538,e805db4503dc4331,2024,Johannesburg,Gauteng,16/05/2018,email
ZAC0000540,a0f22c06d455336a,1848,Soweto,Gauteng,25/05/2018,affiliate
ZAC0000542,32089850308b8cea,748,Polokwane,Limpopo,03/05/2018,paid_search
ZAC0000552,d6b4e29a7d95a689,3206,Pietermaritzburg,KwaZulu-Natal,22/05/2018,referral
ZAC0000559,f2d26b16a7fd251b,1234,Nelspruit,Mpumalanga,04/05/2018,paid_search
ZAC0000560,c2d16f3138b5aa96,8019,Cape Town,Western Cape,05/05/2018,referral
ZAC0000594,abf8ced85ca8730a,8035,Cape Town,Western Cape,13/05/2018,organic
ZAC0000615,414245d48c472c9c,8049,Cape Town,Western Cape,24/05/2018,affiliate
ZAC0000630,d03b031527711c7d,51,Pretoria,Gauteng,16/05/2018,email
ZAC0000638,32d74fe4863101cf,9310,Bloemfontein,Free State,08/05/2018,email
ZAC0000654,ccf3cf3953b59b42,6025,Port Elizabeth,Eastern Cape,31/05/2018,organic
ZAC0000668,ee421eb8c5ee1112,7653,Stellenbosch,Western Cape,25/05/2018,affiliate
ZAC0000669,b60b4e31e4e07748,9346,Bloemfontein,Free State,27/05/2018,organic
ZAC0000670,54c1bba49b44611e,322,Rustenburg,North West,24/05/2018,social
ZAC0000714,ce829a80886b70a8,59,Pretoria,Gauteng,09/05/2018,social
ZAC0000736,3470943805501b9c,3203,Pietermaritzburg,KwaZulu-Natal,10/05/2018,social
ZAC0000746,f43ee0b0788269e0,357,Rustenburg,North West,21/05/2018,social
ZAC0000759,5d0b7394ab7e7fc5,201,Centurion,Gauteng,02/05/2018,social
ZAC0000772,c54f82abea76b5bd,1861,Soweto,Gauteng,08/05/2018,organic
ZAC0000799,f81c8b3c0ddd7056,3217,Pietermaritzburg,KwaZulu-Natal,23/05/2018,organic
ZAC0000867,a09060c498a932c6,357,Rustenburg,North West,22/05/2018,social
ZAC0000882,b76a288a4f19a5a5,2010,Johannesburg,Gauteng,02/05/2018,organic
ZAC0000908,53c202f17cdbe6c2,3204,Pietermaritzburg,KwaZulu-Natal,22/05/2018,organic
ZAC0000916,0d950f26448954fd,5237,East London,Eastern Cape,28/05/2018,paid_search
