ord_ref,line_no,sku,vendor_code,qty,unit_price_zar,delivery_fee_zar
ZA-00000485,1,SKU70187,ZAV00064,1,178.87,43.94
ZA-00000486,1,SKU72502,ZAV00366,3,1174.29,65.12
ZA-00000487,1,SKU75804,ZAV00400,1,2389.27,76.85
ZA-00000488,1,SKU42407,ZAV00727,1,905.24,128.68
ZA-00000488,2,SKU62345,ZAV00733,2,437.31,152.46
ZA-00000489,1,SKU41568,ZAV00197,1,306.97,149.74
ZA-00000490,1,SKU37166,ZAV00454,1,622.26,173.68
ZA-00000491,1,SKU98076,ZAV00081,1,162.52,68.3
ZA-00000491,2,SKU13408,ZAV00616,1,563.91,42.75
ZA-00000491,3,SKU40928,ZAV00369,1,124.02,95.5
ZA-00000492,1,SKU33019,ZAV00011,1,464.22,52.86
ZA-00000493,1,SKU93866,ZAV00157,1,273.76,132.52
ZA-00000494,1,SKU53395,ZAV00234,1,501.94,98.31
ZA-00000494,2,SKU31816,ZAV00721,1,595.79,128.75
ZA-00000495,1,SKU99698,ZAV00739,1,268.28,137.83
ZA-00000496,1,SKU92700,ZAV00132,1,311.27,162.26
ZA-00000497,1,SKU36968,ZAV00200,2,107.37,46.91
ZA-00000498,1,SKU52054,ZAV00301,1,804.55,83.65
ZA-00000498,2,SKU92218,ZAV00720,1,249.56,104.37
ZA-00000499,1,SKU78743,ZAV00032,1,929.45,47.48
ZA-00000500,1,SKU22374,ZAV00187,1,751.58,42.34
ZA-00000501,1,SKU35417,ZAV00172,1,213.04,116.94
ZA-00000502,1,SKU14996,ZAV00528,1,1605.24,127.09
ZA-00000503,1,SKU84998,ZAV00378,2,754.22,135.88
ZA-00000504,1,SKU53744,ZAV00539,1,499.16,128.76
ZA-00000505,1,SKU53715,ZAV00455,2,604.38,160.9
ZA-00000505,2,SKU19091,ZAV00033,1,102.7,56.9
ZA-00000506,1,SKU81067,ZAV00736,1,350.03,111.01
ZA-00000507,1,SKU61800,ZAV00619,1,128.95,89.69
ZA-00000508,1,SKU70264,ZAV00356,1,798.77,64.6
ZA-00000509,1,SKU97532,ZAV00209,1,236.09,104.42
ZA-00000510,1,SKU19237,ZAV00006,1,543.07,90.09
ZA-00000511,1,SKU27328,ZAV00544,1,291.98,70.02
ZA-00000512,1,SKU32533,ZAV00765,1,446.58,96.05
ZA-00000513,1,SKU79017,ZAV00341,1,189.28,165.11
ZA-00000514,1,SKU34401,ZAV00718,1,621.91,40.53
ZA-00000515,1,SKU84288,ZAV00012,1,644.8,82.11
ZA-00000516,1,SKU28109,ZAV00471,1,139.07,127.25
ZA-00000517,1,SKU79715,ZAV00139,1,1011.67,97.06
ZA-00000518,1,SKU92042,ZAV00057,1,488.51,99.37
ZA-00000519,1,SKU98253,ZAV00467,1,465.86,64.42
ZA-00000519,2,SKU79490,ZAV00489,1,1465.29,168.78
ZA-00000520,1,SKU91083,ZAV00142,1,426.86,106.13
ZA-00000521,1,SKU13985,ZAV00061,1,557.16,98.77
ZA-00000521,2,SKU54294,ZAV00186,1,413.66,49.45
ZA-00000522,1,SKU43808,ZAV00209,1,547.4,45.59
ZA-00000523,1,SKU46579,ZAV00450,1,166.34,81.08
ZA-00000524,1,SKU10438,ZAV00672,1,206.34,99.61
ZA-00000525,1,SKU96144,ZAV00357,1,149.93,52.25
ZA-00000526,1,SKU88796,ZAV00417,2,609.24,113.04
ZA-00000527,1,SKU14383,ZAV00543,1,621.49,37.62
ZA-00000528,1,SKU55704,ZAV00343,1,570.43,67.73
ZA-00000529,1,SKU84807,ZAV00123,1,296.68,128.11
ZA-00000529,2,SKU69525,ZAV00689,1,931.06,39.54
ZA-00000529,3,SKU38851,ZAV00307,1,802.7,43.45
ZA-00000530,1,SKU29829,ZAV00118,1,171.06,58.34
ZA-00000531,1,SKU62830,ZAV00589,1,129.62,127.98
ZA-00000531,2,SKU50849,ZAV00543,1,623.01,152.75
ZA-00000531,3,SKU68856,ZAV00442,1,435.96,123.21
ZA-00000532,1,SKU75815,ZAV00788,1,1104.86,119.07
ZA-00000533,1,SKU40069,ZAV00276,1,119.63,100.02
ZA-00000534,1,SKU39737,ZAV00364,1,293.88,92.74
ZA-00000535,1,SKU13596,ZAV00346,1,740.86,83.83
ZA-00000535,2,SKU77221,ZAV00453,1,628.84,106.81
ZA-00000535,3,SKU97652,ZAV00294,1,155.06,165.77
ZA-00000536,1,SKU53705,ZAV00212,1,449.27,166.57
ZA-00000536,2,SKU39696,ZAV00131,1,268.04,117.5
ZA-00000536,3,SKU25241,ZAV00607,1,308.89,177.36
ZA-00000537,1,SKU49064,ZAV00159,1,484.32,110.7
ZA-00000538,1,SKU16263,ZAV00282,1,902.03,131.38
ZA-00000539,1,SKU23833,ZAV00115,3,158.01,84.31
ZA-00000540,1,SKU39339,ZAV00019,1,1300.98,174.57
ZA-00000541,1,SKU23518,ZAV00103,1,616.7,173.09
ZA-00000542,1,SKU96166,ZAV00336,1,1860.59,117.0
ZA-00000543,1,SKU11908,ZAV00599,1,267.86,93.5
ZA-00000544,1,SKU47064,ZAV00422,1,449.13,123.67
ZA-00000545,1,SKU32649,ZAV00384,1,86.51,72.25
ZA-00000545,2,SKU69309,ZAV00073,1,630.92,175.92
ZA-00000546,1,SKU19098,ZAV00593,1,797.88,61.86
