ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt
ZA-00003755,ZAC0008994,01/07/2017 16:51,COMPLETE,04/07/2017 04:54,11/07/2017 10:30,07/07/2017
ZA-00003756,ZAC0003082,01/07/2017 19:26,COMPLETE,07/07/2017 05:45,07/07/2017 20:06,17/07/2017
ZA-00003757,ZAC0001236,01/07/2017 19:10,COMPLETE,05/07/2017 10:56,15/07/2017 04:49,09/07/2017
ZA-00003758,ZAC0020443,01/07/2017 22:29,COMPLETE,03/07/2017 19:33,07/07/2017 10:36,08/07/2017
ZA-00003759,ZAC0017105,01/07/2017 18:45,COMPLETE,02/07/2017 03:41,05/07/2017 16:59,09/07/2017
ZA-00003760,ZAC0006706,01/07/2017 07:50,COMPLETE,02/07/2017 01:38,08/07/2017 15:20,06/07/2017
ZA-00003761,ZAC0018869,01/07/2017 20:34,COMPLETE,06/07/2017 00:00,11/07/2017 13:01,09/07/2017
ZA-00003762,ZAC0016301,01/07/2017 19:52,COMPLETE,03/07/2017 21:42,10/07/2017 18:39,07/07/2017
ZA-00003763,ZAC0022979,01/07/2017 17:27,COMPLETE,02/07/2017 02:16,10/07/2017 01:52,06/07/2017
ZA-00003764,ZAC0021397,01/07/2017 17:10,COMPLETE,04/07/2017 03:08,04/07/2017 15:47,09/07/2017
ZA-00003765,ZAC0004825,01/07/2017 08:57,COMPLETE,02/07/2017 18:27,03/07/2017 10:20,06/07/2017
ZA-00003766,ZAC0009847,01/07/2017 06:26,COMPLETE,01/07/2017 15:38,02/07/2017 15:00,05/07/2017
ZA-00003767,ZAC0011839,01/07/2017 06:37,COMPLETE,05/07/2017 02:02,14/07/2017 11:25,09/07/2017
ZA-00003768,ZAC0022963,01/07/2017 20:49,COMPLETE,06/07/2017 12:40,09/07/2017 01:42,09/07/2017
ZA-00003769,ZAC0007378,01/07/2017 11:12,COMPLETE,03/07/2017 07:35,06/07/2017 12:09,08/07/2017
ZA-00003770,ZAC0005973,01/07/2017 14:13,COMPLETE,11/07/2017 05:15,12/07/2017 08:04,21/07/2017
ZA-00003771,ZAC0010884,01/07/2017 08:09,COMPLETE,01/07/2017 16:11,09/07/2017 19:16,05/07/2017
