ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00028012,ZAC0015944,01/08/2018 15:37,COMPLETE,04/08/2018 15:32,06/08/2018 02:25,08/08/2018,
ZA-00028013,ZAC0009795,01/08/2018 06:56,COMPLETE,04/08/2018 15:21,09/08/2018 17:03,07/08/2018,
ZA-00028014,ZAC0013992,01/08/2018 22:31,COMPLETE,02/08/2018 12:19,03/08/2018 13:40,06/08/2018,
ZA-00028015,ZAC0007281,01/08/2018 12:58,COMPLETE,03/08/2018 19:46,05/08/2018 17:47,08/08/2018,
ZA-00028016,ZAC0007601,01/08/2018 12:12,COMPLETE,02/08/2018 01:48,04/08/2018 09:48,05/08/2018,
ZA-00028017,ZAC0020193,01/08/2018 21:28,COMPLETE,03/08/2018 14:15,15/08/2018 14:56,13/08/2018,
ZA-00028018,ZAC0023811,01/08/2018 16:37,COMPLETE,04/08/2018 07:24,09/08/2018 07:20,08/08/2018,
ZA-00028019,ZAC0004418,01/08/2018 12:17,COMPLETE,03/08/2018 22:42,06/08/2018 07:41,13/08/2018,
ZA-00028020,ZAC0018647,01/08/2018 07:43,COMPLETE,03/08/2018 22:34,06/08/2018 00:46,08/08/2018,
ZA-00028021,ZAC0016541,01/08/2018 16:21,COMPLETE,05/08/2018 00:57,08/08/2018 08:43,09/08/2018,
ZA-00028022,ZAC0018910,01/08/2018 09:13,COMPLETE,02/08/2018 17:46,07/08/2018 12:04,09/08/2018,
ZA-00028023,ZAC0015359,01/08/2018 10:54,COMPLETE,02/08/2018 08:30,03/08/2018 12:47,05/08/2018,
ZA-00028024,ZAC0018892,01/08/2018 20:37,COMPLETE,03/08/2018 21:01,06/08/2018 20:19,08/08/2018,BULK20
ZA-00028025,ZAC0006291,01/08/2018 18:43,COMPLETE,04/08/2018 00:03,14/08/2018 12:51,07/08/2018,
ZA-00028026,ZAC0002166,01/08/2018 17:29,COMPLETE,04/08/2018 15:52,07/08/2018 11:52,09/08/2018,
ZA-00028027,ZAC0015369,01/08/2018 12:39,RETURNED,03/08/2018 02:05,07/08/2018 15:30,06/08/2018,
