refund_ref,ord_ref,refund_dt,refund_amt_zar,reason_code
RF-0000115,ZA-00008680,24/10/2017,2522.92,CHANGED_MIND
RF-0000173,ZA-00008831,29/10/2017,603.31,DAMAGED
RF-0000191,ZA-00008694,23/10/2017,65.23,LATE_DELIVERY
RF-0000352,ZA-00008595,25/10/2017,22.98,LATE_DELIVERY
RF-0000519,ZA-00008676,29/10/2017,971.37,CHANGED_MIND
RF-0000614,ZA-00008668,23/10/2017,83.62,DAMAGED
RF-0000756,ZA-00008980,28/10/2017,206.21,CHANGED_MIND
RF-0000781,ZA-00008347,23/10/2017,45.66,CHANGED_MIND
RF-0000877,ZA-00009077,29/10/2017,832.74,LATE_DELIVERY
RF-0000941,ZA-00008786,27/10/2017,153.9,CHANGED_MIND
