city,country_code,time,precipitation_sum,wind_speed_10m_max,temperature_2m_max
sao paulo,BR,2017-01-01,2.0,21.3,30.2
sao paulo,BR,2017-01-02,5.1,16.0,29.5
sao paulo,BR,2017-01-03,5.0,15.2,28.4
sao paulo,BR,2017-01-04,7.3,28.3,28.8
sao paulo,BR,2017-01-05,3.0,19.0,29.8
sao paulo,BR,2017-01-06,2.7,20.5,28.9
sao paulo,BR,2017-01-07,8.5,19.0,27.6
sao paulo,BR,2017-01-08,3.3,11.3,29.3
sao paulo,BR,2017-01-09,8.0,14.3,29.8
sao paulo,BR,2017-01-10,5.2,16.3,28.9
sao paulo,BR,2017-01-11,10.8,14.6,28.0
sao paulo,BR,2017-01-12,39.8,17.7,23.0
sao paulo,BR,2017-01-13,4.7,15.1,26.0
sao paulo,BR,2017-01-14,0.6,22.1,27.8
sao paulo,BR,2017-01-15,6.5,13.2,27.4
sao paulo,BR,2017-01-16,21.0,13.6,27.5
sao paulo,BR,2017-01-17,24.5,21.8,22.8
sao paulo,BR,2017-01-18,22.0,17.4,24.3
sao paulo,BR,2017-01-19,24.0,16.1,24.7
sao paulo,BR,2017-01-20,13.0,10.8,22.3
sao paulo,BR,2017-01-21,34.1,12.6,20.7
sao paulo,BR,2017-01-22,18.2,13.4,23.0
sao paulo,BR,2017-01-23,10.8,11.0,24.8
sao paulo,BR,2017-01-24,13.6,16.8,27.6
sao paulo,BR,2017-01-25,6.4,23.9,26.6
sao paulo,BR,2017-01-26,19.8,21.3,24.6
sao paulo,BR,2017-01-27,11.8,15.3,25.1
sao paulo,BR,2017-01-28,3.2,20.1,27.0
sao paulo,BR,2017-01-29,1.0,19.5,27.6
sao paulo,BR,2017-01-30,3.7,17.4,27.9
sao paulo,BR,2017-01-31,4.7,14.9,26.1
sao paulo,BR,2017-02-01,12.1,12.3,25.4
sao paulo,BR,2017-02-02,10.2,17.6,24.9
sao paulo,BR,2017-02-03,2.7,23.0,25.8
sao paulo,BR,2017-02-04,10.1,17.1,25.9
sao paulo,BR,2017-02-05,3.0,11.9,27.9
sao paulo,BR,2017-02-06,1.0,13.1,29.0
sao paulo,BR,2017-02-07,2.0,22.6,27.2
sao paulo,BR,2017-02-08,0.8,21.7,26.2
sao paulo,BR,2017-02-09,0.0,21.9,25.9
sao paulo,BR,2017-02-10,1.0,18.1,26.9
sao paulo,BR,2017-02-11,0.1,16.5,28.2
sao paulo,BR,2017-02-12,0.8,13.6,28.8
sao paulo,BR,2017-02-13,0.2,15.5,28.1
sao paulo,BR,2017-02-14,0.0,15.5,29.3
sao paulo,BR,2017-02-15,0.0,15.0,29.5
sao paulo,BR,2017-02-16,0.7,17.5,30.2
sao paulo,BR,2017-02-17,0.0,20.3,31.5
sao paulo,BR,2017-02-18,0.0,19.2,32.1
sao paulo,BR,2017-02-19,0.0,18.5,31.3
sao paulo,BR,2017-02-20,0.2,25.6,31.7
sao paulo,BR,2017-02-21,0.5,19.5,30.3
sao paulo,BR,2017-02-22,0.0,16.7,30.1
sao paulo,BR,2017-02-23,4.3,16.0,30.5
sao paulo,BR,2017-02-24,2.6,21.8,29.5
sao paulo,BR,2017-02-25,5.5,20.9,23.0
sao paulo,BR,2017-02-26,1.5,11.7,25.5
sao paulo,BR,2017-02-27,0.9,16.2,26.5
sao paulo,BR,2017-02-28,6.1,14.6,27.7
sao paulo,BR,2017-03-01,4.7,16.1,28.6
sao paulo,BR,2017-03-02,12.3,18.5,27.1
sao paulo,BR,2017-03-03,34.7,15.5,26.9
sao paulo,BR,2017-03-04,5.8,17.7,25.9
sao paulo,BR,2017-03-05,4.5,17.4,26.5
sao paulo,BR,2017-03-06,22.1,14.6,26.0
sao paulo,BR,2017-03-07,12.7,15.1,26.8
sao paulo,BR,2017-03-08,8.2,16.8,26.7
sao paulo,BR,2017-03-09,2.3,17.7,27.9
sao paulo,BR,2017-03-10,0.0,11.2,30.2
sao paulo,BR,2017-03-11,2.2,14.3,26.9
sao paulo,BR,2017-03-12,0.0,19.2,29.6
sao paulo,BR,2017-03-13,6.8,22.7,24.9
sao paulo,BR,2017-03-14,2.9,18.4,25.5
sao paulo,BR,2017-03-15,3.2,18.1,25.4
sao paulo,BR,2017-03-16,0.0,12.0,28.2
sao paulo,BR,2017-03-17,10.4,19.1,27.7
sao paulo,BR,2017-03-18,6.5,23.7,21.4
sao paulo,BR,2017-03-19,2.5,20.5,20.0
sao paulo,BR,2017-03-20,1.7,21.2,21.2
sao paulo,BR,2017-03-21,0.6,18.6,22.8
sao paulo,BR,2017-03-22,0.2,19.5,25.0
sao paulo,BR,2017-03-23,1.1,18.3,25.0
sao paulo,BR,2017-03-24,0.0,17.4,26.7
sao paulo,BR,2017-03-25,2.0,17.9,26.2
sao paulo,BR,2017-03-26,0.0,20.3,24.8
sao paulo,BR,2017-03-27,1.1,19.7,24.2
sao paulo,BR,2017-03-28,3.1,20.8,23.0
