region_code,region_name,country_code,observed_city,resolved_timezone,time,precipitation_sum,wind_speed_10m_max,temperature_2m_max
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-01,9.1,12.6,29.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-02,3.9,8.4,30.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-03,7.3,10.1,28.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-04,19.8,12.8,29.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-05,31.0,12.1,30.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-06,15.4,6.9,28.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-07,11.7,11.7,29.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-08,5.4,11.4,29.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-09,3.7,11.8,29.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-10,5.5,9.5,29.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-11,15.7,7.9,27.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-12,9.2,10.5,28.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-13,3.1,8.7,29.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-14,8.5,8.6,27.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-15,16.3,10.0,29.2
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-16,25.6,11.6,27.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-17,2.2,10.1,28.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-18,1.6,11.9,29.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-19,17.5,8.9,28.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-20,4.1,6.4,28.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-21,16.7,9.0,28.2
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-22,6.2,11.8,27.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-23,10.0,12.0,29.2
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-24,5.3,14.2,30.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-25,5.6,7.1,29.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-26,4.1,10.5,31.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-27,26.0,8.9,27.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-28,1.6,11.7,28.2
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-29,14.8,7.6,28.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-30,1.8,9.5,30.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-01-31,5.9,10.4,28.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-01,11.1,14.4,29.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-02,1.1,13.6,28.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-03,1.2,9.9,30.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-04,4.7,11.2,29.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-05,0.1,10.9,31.2
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-06,2.2,9.0,31.4
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-07,17.6,9.0,28.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-08,3.9,10.5,30.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-09,2.1,11.6,29.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-10,7.3,14.0,30.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-11,4.7,15.5,29.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-12,17.0,12.9,28.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-13,13.9,7.1,26.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-14,7.6,8.5,28.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-15,2.7,10.8,29.7
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-16,0.5,14.3,30.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-17,0.9,15.2,30.5
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-18,7.7,11.5,30.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-19,10.2,11.1,29.9
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-20,17.9,6.4,29.6
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-21,3.9,8.1,27.8
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-22,5.9,9.0,27.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-23,12.8,8.7,28.3
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-24,30.9,12.2,27.1
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-25,8.0,12.6,27.4
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-26,19.1,12.3,26.0
AC,Acre,BR,Rio Branco,America/Rio_Branco,2017-02-27,6.6,10.7,29.9
