source_name,source_group,load_type,adf_pipeline_name,status,window_start,window_end,files_read,started_at,ended_at,duration_sec,error_message
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:04:48.2935656,1.0,2026-09-06T10:04:48.0000000,2026-09-06T10:05:27.0000000,39,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:05:47.0088857,1.0,2026-09-06T10:05:47.0000000,2026-09-06T10:06:16.0000000,29,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:06:30.7474329,1.0,2026-09-06T10:06:31.0000000,2026-09-06T10:07:00.0000000,29,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:07:22.7341891,1.0,2026-09-06T10:07:23.0000000,2026-09-06T10:07:54.0000000,31,
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:08:23.6972305,1.0,2026-09-06T10:08:24.0000000,2026-09-06T10:08:55.0000000,31,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:09:07.5884269,1.0,2026-09-06T10:09:08.0000000,2026-09-06T10:09:39.0000000,31,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:09:59.5675609,1.0,2026-09-06T10:10:00.0000000,2026-09-06T10:10:33.0000000,33,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:10:49.1738232,1.0,2026-09-06T10:10:49.0000000,2026-09-06T10:11:18.0000000,29,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:11:26.7434516,1.0,2026-09-06T10:11:27.0000000,2026-09-06T10:11:54.0000000,27,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,,2026-09-06T10:12:03.0797980,22.0,2026-09-06T10:12:03.0000000,2026-09-06T10:12:33.0000000,30,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,,2026-09-06T10:12:43.5217197,22.0,2026-09-06T10:12:44.0000000,2026-09-06T10:13:16.0000000,32,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:13:38.0696030,22.0,2026-09-06T10:13:38.0000000,2026-09-06T10:14:09.0000000,31,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:14:31.6427120,22.0,2026-09-06T10:14:32.0000000,2026-09-06T10:15:00.0000000,28,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:15:30.7284615,22.0,2026-09-06T10:15:31.0000000,2026-09-06T10:16:04.0000000,33,
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,,2026-09-06T10:16:29.8203164,94.0,2026-09-06T10:16:30.0000000,2026-09-06T10:17:05.0000000,35,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:04:48.2935656,2026-09-06T10:28:04.6862447,1.0,2026-09-06T10:28:05.0000000,2026-09-06T10:28:48.0000000,43,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:05:47.0088857,2026-09-06T10:29:02.6344442,1.0,2026-09-06T10:29:03.0000000,2026-09-06T10:29:28.0000000,25,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:06:30.7474329,2026-09-06T10:29:38.7310082,1.0,2026-09-06T10:29:39.0000000,2026-09-06T10:30:07.0000000,28,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:07:22.7341891,2026-09-06T10:30:31.4671927,1.0,2026-09-06T10:30:31.0000000,2026-09-06T10:31:05.0000000,34,
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:08:23.6972305,2026-09-06T10:31:28.6683134,1.0,2026-09-06T10:31:29.0000000,2026-09-06T10:31:57.0000000,28,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:09:07.5884269,2026-09-06T10:32:11.3675969,1.0,2026-09-06T10:32:11.0000000,2026-09-06T10:32:42.0000000,31,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:09:59.5675609,2026-09-06T10:33:00.2619862,1.0,2026-09-06T10:33:00.0000000,2026-09-06T10:33:32.0000000,32,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:10:49.1738232,2026-09-06T10:33:53.9396239,1.0,2026-09-06T10:33:54.0000000,2026-09-06T10:34:25.0000000,31,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:11:26.7434516,2026-09-06T10:34:40.4532287,1.0,2026-09-06T10:34:40.0000000,2026-09-06T10:35:07.0000000,27,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T10:12:03.0797980,2026-09-06T10:35:18.0120740,22.0,2026-09-06T10:35:18.0000000,2026-09-06T10:35:54.0000000,36,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T10:12:43.5217197,2026-09-06T10:36:10.2278796,22.0,2026-09-06T10:36:10.0000000,2026-09-06T10:36:35.0000000,25,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:13:38.0696030,2026-09-06T10:36:48.2882115,22.0,2026-09-06T10:36:48.0000000,2026-09-06T10:37:16.0000000,28,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:14:31.6427120,2026-09-06T10:37:28.7828642,22.0,2026-09-06T10:37:29.0000000,2026-09-06T10:37:55.0000000,26,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:15:30.7284615,2026-09-06T10:38:11.2094153,22.0,2026-09-06T10:38:11.0000000,2026-09-06T10:38:41.0000000,30,
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:16:29.8203164,2026-09-06T10:38:51.0061676,94.0,2026-09-06T10:38:51.0000000,2026-09-06T10:39:17.0000000,26,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:28:04.6862447,2026-09-06T10:50:42.0007613,1.0,2026-09-06T10:50:42.0000000,2026-09-06T10:51:20.0000000,38,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:29:02.6344442,2026-09-06T10:51:41.9593391,1.0,2026-09-06T10:51:42.0000000,2026-09-06T10:52:11.0000000,29,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:29:38.7310082,2026-09-06T10:52:21.3543029,1.0,2026-09-06T10:52:21.0000000,2026-09-06T10:52:48.0000000,27,
olist_products,olist,FULL,pl_ingest_files,FAILED,2026-09-06T10:30:31.4671927,2026-09-06T10:52:59.0917086,,2026-09-06T10:52:59.0000000,2026-09-06T10:53:26.0000000,27,"ErrorCode=UserErrorFileNotFound,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=ADLS Gen2 operation failed for: Operation returned an invalid status code 'NotFound'. Account: 'stconfluencesa'. FileSystem: 'source'. Path: 'data/raw/nonexistent/olist_products_dataset.csv'. ErrorCode: 'PathNotFound'. Message: 'The specified path does not exist.'. RequestId: '8689a2d1-001f-00cb-43ed-3d1346000000'. TimeStamp: 'Sun, 06 Sep 2026 10:53:17 GMT'.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.Azure.Storage.Data.Models.ErrorSchemaException,Message=Operation returned an invalid status code 'NotFound',Source=Microsoft.DataTransfer.ClientLibrary,'"
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:31:28.6683134,2026-09-06T10:53:39.8176273,1.0,2026-09-06T10:53:40.0000000,2026-09-06T10:54:10.0000000,30,
